sentence,overall
" giao hàng[1,9,p] đúng yêucầu, cầm chắctay, rất tiện cho người nhà nghe gọi hỏi thămnhau.",p
"Ắcnét. Sử dụng[7,13,p]tốt.",p
"Máy hết pin phải kích sạc lại từ đầu có lẽ do tồn kho quálâu. Mọi thứ đều ổn so vớigiá.[83,86,p] Mn nên mua cho người già và học sinh với cấu hình[138,145,p] giớihạn. Tiki thì lu ô chuẩnhơn.",p
"Sản phẩm[0,7,neg] là hàng đã bị sửdụng,chậm, có lúc bị đơ khi mình càiFacebook. Mình muốn trả hoặc đổi cái khác cho mình",neg
"Mình đặt mua hộ người nhà dùng được 3 tháng thì có hiện tượng loạn cảm ứng[67,73,neg] và đơ màn[92,94,neg] đến hôm nay thì không lên màn cắm sạc vẫnnhận. Cần được giải quyết từ shop",neg
" Điện thoại[1,10,p] z mua về chưa được 10 ngày mà tắt nguồnluôn. Khi nhận thì đã không còn siu",neg
"Máy[0,2,p]đẹp, chụp ảnh[15,22,p]ok, màn hình[36,43,p] cựclớn, pin[62,64,p] 6000mA nên dt hơinặng, thương hiệu Nokia thì uy tín",p
"Tuyệt vời phiếu bảo hành[16,23,p] đầy đủ",p
"Hiện tại máy[9,11,neg] đt Nokia đang có hiện tượng treomáy. Ko thể restartđc, shop liên hệ***nhé. Tks",neg
"Sản phẩm[0,7,p]tốt, giao hàng[20,28,p] nhanh hơn dự kiến",p
"Chất lượng[0,9,p] tốt trong tầmgiá. Giao hàng[36,44,p] đúnghẹn.",p
"Rất tốt so với giá[15,17,p] thành",p
"máy fullbox. dùng cũngđược, pin[28,30,p] trâu 🐃 tầm giá[53,55,p] cũng ổn áp",p
"Đã nhận nhưng thiếu miếng dán mànhình, đt[39,40,p] rất ưngý,cảm ơnshop, nhân viên giao hàng[72,90,p] rất nhiệttình.",p
" Giao hàng[1,9,p]nhanh, đóng gói[24,31,p] kĩ",p
" Sản phẩm[1,8,p] giaonhanh, chất lượng[28,37,p] ổn như mongđợi, chỉ có điều miếng dán màn hình theo máy dán rất ẩu bị lệch hẳn sang 1 bên 🥲",p
" điện thoại[1,10,p] rẻ trong tầmtiền. nên khởi động quáchậm. nói chung là tiền nào củanấy.",p
"hàng[0,3,p] làm máy phụổn, xài app[31,33,p] tốt*chơi game[47,56,neg] kém",p
" sản pham[1,8,p] giong mota, de sudung, giao hàng[40,48,p] nhanh",p
"Màng hình[0,8,p]to, đóng gói[20,27,p] chắcchắn, mà giao hàng[51,59,neg] hơi lâuchút!",p
" Điện thoại[1,10,p] tốt nhất trong tầmgiá...",p
"Giao hàng[0,8,p]nhanh, đóng gói[23,30,p] cẩnthận, đttốt. Cảm ơnnhiều!",p
"sản[0,2,p] phẩm[11,14,p]tốt, giá[29,31,p] phải chăng",p
" Điện thoại[1,10,p]mỏng,nhẹ, màn hình[29,36,p]lớn. Tặng kèm ốp lưng trongsuốt. Chưa sử dụng nhưng nhìn kháđẹp. Giá[111,113,p] cả phù hợp",p
"sp[0,1,p] ổn trong tầmgiá.pin roi dễ thay thế",p
"Hàng[0,3,p] xịnxò, mớitinh, màn hình[28,35,p] đã được dán cẩnthận. Rất hàilòng.",p
"sp[0,1,p] ok",p
"Tổt trong tàm giá[14,16,p]",p
"giao hàng[0,8,neg] chậm",neg
" Ngoài hình[1,10,p] đẹp dù nhìn hơi kiểu lúa lúa trung quốc tí:) có chỗ viền mạđẹp, có chỗ khác thì nhìnlúa. Theo gu mình làvậy. Chất lượng good trong giánày. Tính năng[162,170,p] đúng và đủ như đăng trên gianhàng. Góihàng, giao hàng đềugood. Để coi xài bềnkhông.",p
"Tôi mua 02cái, điện thoại[15,24,p] chắcchắn, màn hình[45,52,p]to, chuôngto, bàn phím[76,83,p] to dễ dùng cho người cótuổi, nhiềutính năng,[128,137,p] rấtổn, sau 1 tuần thấy dùngổn, sau này chưa biết thếnào.",p
"Mẫu[0,2,p]đẹp, nghe[15,18,p] to rỏ",p
"sản phẩm[0,7,p] đẹp",p
"Màn hình[0,7,p]rõ, đt[19,20,p]đẹp. Sài ok",p
"Hàng[0,3,p] chínhhãng.Nokia.4G căngđét.máy đẹp.pin[46,49,p]trâu. Giao hàng[65,73,p]nhanh.tặng shop 5 sao",p
"Hàng[0,3,p] chính hãng Nokia.loa[28,31,p]to.máy đẹp.pin[51,54,p]trâu.nhỏgọn.cho5sao.giao hàng nhanh",p
"mua hai chiếc hai màu shop lại giao cùngmàu. vỏ hộp[45,50,neg] thì bị bóp méo",neg
"chọn màu đỏ lại giao[16,19,neg] màu xanh",neg
"Tiki đóng gói[5,12,p] quá OK.rất ưng cáibụng.rất hàilòng.tôi mua rất nhìu chỗ chỉ thấy tiki là OKnhất.",p
"Máy[0,2,p]đẹp.loa torõ.Bh dàihạn.hỗ trợ 4G thì ngonrồi. Giao hàng nhanh.shop tư vấn nhiệttình. 5 sao",p
"Hàng[0,3,p] rất OK đóng gói[19,26,p] cẩn thận Tên mác dính chăt Mua lần 2 rồi",p
"sp[0,1,p] chínhhãng.4g căngđét.shop giao hàng nhanh.pintốt. loa to",p
"Mọi cái Sài điều Ok Đóng gói[17,28,p] cẩn thận",p
"Shop giao hang[5,13,neg] khong dung màu em đặt. Hop mau nay giao mau khac. Haiz",neg
"mớidùng, pin[9,11,p] được 2 ngày ở mức dùng bình thường thi thoảng lướtweb,facebook, gọiđiện...nếu dùng ở mức cao thì được trọn 1ngày. Ban đầu thấy cảm ứng[148,154,neg] có vẻ hơiloạn, sau rồi thấy ổnđịnh. Thử ngâm nước mang lên thì loa hơirè...",p
" sản phẩm[1,8,p] như trênhình, nguyên đai nguyênkiện, chưa dùng bao giờ cũng hy vọng là tốt và bền",p
"Vào tin nhắn[4,11,neg] bị giật giật shopơi. Có cách nào fix được khôngshop.",neg
"sản phẩm[0,7,p][0,7,p] nam tính hơnảnhi, ốp lưng tặng kèm mầu trắng trong khi sản phẩm màu đen( điểm trừ vì điềunày). sản phẩm chắcchắn.",p
"máy[0,2,p] dùngtốt.bền. tuyệt vời",neu
"pin[0,2,neg] không như quảngcáo. máy[33,35,neg] hay giật lag",neg
"Ok dùng[3,6,p] tôt",p
"Pin[0,2,neg] kém hơn nhiều so với quảng cáo",neg
" đóng gói[1,8,p] an toàn",p
"hom nay minh da nhan duochang, tot hon mong doi.may[47,50,p] chay rat muot",p
"máy[0,2,p] mới nguyên đai nguyênkiện. chạy khá ngon",p
" Gói hàng[1,8,p] cẩnthận, máy dùng rất tốt",p
"Đóng gói[0,7,p] bao bì cẩnthận, giao hàng[32,40,p] nhanh hơn thông báo banđầu.",p
"HÀNG[0,3,p] NHƯ HÌNH",p
"Giao hàng[0,8,p]nhanh, chất lượng[23,32,p]tốt, nguyên seal",p
"hàng[0,3,p] giao tận tay rất nhanh chóng hơn dự kiến 3 ngày",p
"Hàng đóng gói[5,12,p] cẩntốt.Hỗ trợ sau bán hàng tốt",p
"vì viên pin[8,10,p]10,000 và hình thức[29,37,p] ok",p
" Điện thoại[1,10,p] đẹp màu sắc bắt mắt độ phân giải cao",p
"Màn hình[0,7,p] cũng ổn Bàn phím ổn Vàofacebook,youtubeổn,nhưng chưa hổ trợ gọi video call Trợ lý google chưa hổ trợ tiếngviệt,ứng dụng GPS chưa định vị được hay saoá,còn xem bản đồ thì được Pin sạc 2 tiếng rưỡi nếu chờ sài2,3 ngày chưahet. Đang trải nghiệm ạ",p
"Dùng ổn áp nhưng hơi lag xíu ko đángkể, màn hình[40,47,neg] hơi mờ khi xem YouTube với cả đặt màu đen nhưng về màu xanh vì dùng ổn nên vx cho 5 sao",neg
"Điện thoại[0,9,p] kết nối Internet dễdàng, dễ sửdụng. Hai sim haisóng, tiện lợi cho người dùng",p
"Chưa giống đt mẫu nhưng shop[24,27,p] đã đổi bản khác ạ",p
" Điện thoại[1,10,neg] chỉ dành riêng phát Wifi mà nhanh hết pin quá",neg
"Ok sản phẩm[3,10,p] sử dụngtốt, ổn trong tầmgiá.[44,47,p] Có điều trợ lí ảo không hỗ trợ tiếng Việt",p
"Máy[0,2,neu] chỉ chạy 3G thôi Trong cài đặt cũng dừng lại tùy chọn 3G là cao nhất",neu
"Máy nguyên seal nhưng pin[22,24,neg] bịphồng. Đã yc trảhàng. Rấttiếc. ☹️",neg
"Ok.hàng[0,6,p]chuẩn.bền chưa biết",p
"Cảm ơn shop nhà điện thoại[16,25,p] ngon có ho trợ map Google",p
"sp[0,1,p] như quảngcáo.trải nghiệm có đầy đủwifi.facebook như cảmứng.Bh dàihạn..",p
"Mình đặt màu[9,11,neg] đen mà=)))",neg
" Lướt web[1,8,p] vô tư",p
"Máy[0,2,neg] chậm khó dùng không tiện Phát wifi tốt",neg
"Hộp[0,2,neg]móp, 2 cục pin[23,25,neg] ko dc bọc trong túi nilon mà rơi lủng lẳng trong hộp như đã có ng bóc hộp và ko thấy thẻ bảo hành",neg
"Shop giao hàng[5,13,p] nhanhchóng, hỗ trợ[35,40,p] nhiệttình. Hàng đóng gói[67,74,p] chắcchắn, nghe gọi chấtlượng. Dùng pinsạc[123,125,p], sạcnhanh, dễ sử dụng",p
" Sản phẩm[1,8,neg] đúng nhưhình, chưa biết tốt xấu rasao, xài được ngay Sản phẩm đúng nhưhình, chưa biết tốt xấu rasao, xài được ngay Sản phẩm đúng nhưhình, chưa biết tốt xấu rasao, xài được ngay Sản phẩm đúng nhưhình, chưa biết tốt xấu rasao, xài được ngay",neg
" Nhà bán[1,7,neg] ko xuất hóađơn. Hỏi chẳng thèm trả lời",neg
"hàng[0,3,p]ok!",p
" Chất lượng[1,10,neg]tệ.Nghe, nói loãngtiếng, âm thanh[46,53,neg] tiếng nói quá trong hay bị echo dù dã tắt chế độeco.",neg
" sản phẩm[1,8,p] mới như camkết, chất lượng[33,42,p]tốt, sóng giữa 2 phòng liền nhau rấtok.",p
"sp[0,1,p]tốt. hư quảng cáoạ. m dùng thử lâu rồi mà giờ mới đánh giáđc, sorry shopnhé. shop làm ăn uytín, nhiệt tình với khách lắmạ. sẽ ủng hộ lần sau",p
" tiếng chuông[1,12,neg] nghe kohay. dữ liệu lưu[36,46,neg] sdt không đượcnhieu. nét chữ[80,86,neg] hiển thị trên dt khó nhìnlắm. giờ chỉ còn hy vọng dt bền mà thôi",neg
"sp[0,1,neg] k có loa ngoàikhá. phím bấm vị trí chưa hợp lý dễ bấm lộn khi lần đầu sử dụng",neg
"pin[0,2,neg] quákém.quảng cáo đàm thoại ltuc17h, chế độ chờ200h.vậy mà 2h tụt hếtpin.làm ăn giandối.lhe thì k được",neg
"Cho pin[4,6,neg] vào thì điện thoại báo",neg
"Máy[0,2,neg] mới mua mở ra đã bị thủng ở vị trí bảohành. Bên nào chịu trách nhiệm đổi mới cho khách hàng đây",neg
"Hàng[0,3,p] đúng mô tả. Tks shop",p
"điện thoại[0,9,neg] bị rè ko nghe rõ, đề nghị đổi hàng",neg
"Mới dùngthôi, thấy nghe[19,22,p] gọi ok nhỏ gọn tiệnlợi, nhưng lúc đầu ko gọi đc phải loay setup một hồi",p
"Vận chuyển:[0,10,neg] chủ nhật gọi hẹn thứ haigiao, mãi hôm nay thứ tư mới đến giao Hàng mới test thử thấyok, thời gian sau mới biết hàng tốt haykhông.",neg
" Điện thoại[1,10,p]tốt, mua về có thể sử dụng ngayạ. Tiki cho mình hỏi điện thoại có bảo hành không và bảo hành trong bao lâuạ?",p
" Điện thoại[1,10,neg] siêunhỏ. Không nghegì. Kêu bảo hành[49,56,neg] đem đi mấy ngày xong trả lại vẫnbị. Y như đem đi rồi thôiá. Đừng mua dòngnày.",neg
" Nhân viên giao hàng[1,19,neg]xin, kì kèo xin thêm tiền ngoài tổng chi phí thanh toán cho đơnhàng. Tự động trắc thiếutiền(bớt tiền thối lại xin uốngnước) . TIKI nên xem lại thái độ này",neg
" Máy dùng[1,8,p]tốt.Hàng đúng như trên app quảngcáo.Khỏi phải bàn về độ ổn định trong dịch vụ[86,92,p] của Tikirồi.Tks tiki",p
" Sản phẩm[1,8,neg] không tốt như kìvọng,loa[35,42,neg] bị rè",neg
" Sản phẩm[1,8,neg] không tốt như mongđợi...",neg
"Lúc đầu mình không đọckỹ, nghĩ là mẹ bồng con nên muanhầm. Điện thoại[59,68,p] có 1 tay con đúng như tên gọi""điện thoại bàn khôngdây"". Điện thoại ngherõ, cầm pin[158,160,p] 1 ngày nếu thoạinhiều.",p
"khá hài lòng vs sản phẩm[16,23,p] này",p
"rất không hàilòng,không sử dụng[24,30,neg] được",neg
"xài[0,2,p]tốn, ổnđịnh, nghe[23,26,p] rỏ",p
" Màn hình[1,8,neg] hơinhỏ, chữ[27,29,neg] mảnh hơi khó nhìn",neg
"Nhận hàngxong.Chất lượng.[14,24,p] Hàng giống nhưmẫu. Có khuyết điểm kèm 2 pin sạt ko chấtlượng.",p
"hàng[0,3,p] xàiok, chuông hơinhỏ, ko thấy ngat sạc để đt lên là sạc",p
"Nhờ shop bảo hành dùm nghe[22,25,neg] gọi bị rè,người khác gọi lại khoảng 1 phút sau mới nói chuyệnđược.",neg
"Vì lần đầu mua của shop nên mình rất cẩn thận quay lại clip từ khi mởhộp. Và shop đã không làm mình phải thấtvọng, sản phẩm[115,122,p] mới nguyên sealluôn. Rất hàilòng. Quan trọng mình mua đúng hôm sale nen mua được giá[216,218,p] hợplí. Mình chưa có thời gian để vọcvạch. Shop còn cẩn thận tặng 1 tờ hướng dẫn càiđặt, hi vọng mình sẽ làmđc. Cảm ơnshop! Tiki thì khỏinói, mua hàng trên Tiki dù đắt tiền vẫn cứ là yêntâm.",p
"máy[0,2,p]đẹp, màn[15,17,p]đẹp. thiết kế[32,39,p] nút bấm chắc chắn và cho cảm giác cầm đằmtay. shop chăm sóc nhiệttình. nếu có sản phẩm ưng ý sẽ ủng hộ tiếp",p
"ok dùng nhiều thì pin[18,20,p] hao nhanh dùng ít thìlâu, chế độ chờ[57,66,p] cũng để đượclâu, ví dụ ngày đọc 30p tắt đèn thì chắc dùng dc 10 ngày thoải mái",p
" Giao hàng[1,9,p]nhanh, đóng gói[24,31,p] kĩcàng, chất lượng[50,59,p]tốt, lâu dài thì phải chờ sử dụng",p
"Loa[0,2,p]to, hình ảnh[14,21,p]rõ, thích hợp cho ngườigià. Điện thoại không có kèm thẻnhớ, không cócamera.",p
"máy pin[4,6,p]trâu.loato.đóng gói[22,32,p] cẩnthận.giao hàng[46,59,p] nhanh",p
"máy[0,2,p] chắcchắn, màn hình[21,28,p]sáng, pin[44,46,p] lâu loa[61,63,p] torõ, đèn pin[80,86,p] sáng",p
"vừa mới nhậnhàng, mẫu mã[18,23,p] gọnnhẹ, chuông[42,47,p]to, bàn phím[61,68,p] đẹp dễnhìn, màn hình[91,98,neg] bé không thíchlắm, danh bạ chỉ hiển thị có 2dòng.",p
"Co chế độ bảo hành[10,17,p] đổi trả tốt san phẩm bị lôi kỉ thuat dc hoàn trả và hoàn tiền về thẻ cho shop 4 sao trừ 1 sao vì kg xai dc fai hoàn tra san phẩm",p
"sạc đầy pin[8,10,neg] để đó không đụng tới nhưng chỉ 2 ngày hết pinrồi. Quảng cáo tới 17ngày?!?! vấn đề này có được bảo hành[117,124,neg] không vậyshop?",neg
" chất lượng[1,10,p] tốt nên dùng",p
"máy[0,2,p] rất đẹp",p
"Ok sop giao[7,10,p] đúng hẹn",p
"hàng[0,3,p]đẹp, shop giao hàng[21,29,p] rấtnhanh, phù hợp giá[58,60,p] tiền",p
"hàng[0,3,p] quáổn, nênmua, người già dùng rất thuận tiện",p
" sản phẩm[1,8,p] rất chắcchắn,loato,pinkhỏe,đẹp.",p
"đẹp dễ dùng[4,10,p] cho người già",p
"dùng[0,3,p] tốt",p
"sp[0,1,p] đúng nhưqc..hàngchất..shop tư vấn nhiệt tình",p
"Máy[0,2,p]đẹp, nhìn chắc chắn",p
"Hàng[0,3,p] tốt ok",p
"Mới nhận hàng lúc 2g30 đến 5 g con tôi đi làm về lắp pin vào thì tháy màn hình[70,77,neg] bịsọc.",neg
"To dễsử dụng,[5,12,p] màu sắc[22,29,p] dễ nhận biết cho ng lớntuổi.",p
"Rấtưng, shop[8,11,p] rất chu đáo",p
"Máy[0,2,p] cầm chắcchắn, bấm số có tiếngđọc, âm thanh[45,52,p] nghe to rõràng. Rất phù hợp ngườigià.",p
" Sản phẩm[1,8,p] đẹp",p
"hàng[0,3,p] ok",p
" Sản phẩm[1,8,p] đúng nhưhình, giao hàng[31,39,p] đúnghạn, đóng gói[59,66,p] chắc chắn",p
"Dùng[0,3,p] đã được 1 tháng thấy rấtok! Nhược điểm của máy phải bỏ 3 viênpin AA mới sử dụng được nhiều chứcnăng,có thể khắc phục bằng cách lấy 1 cục sạc di động 5v độ nối vào hộc pin",p
"TIKI giao hàng[5,13,p] sớm hơnhẹn, điện thoại nhận được màu đen nhưng mẫu mã[70,75,p]đẹp,sang, rất phù hợp cho bàn làmviệc.",p
"Máy[0,2,p] mớitốt, đóng gói[19,26,p] cẩn thận",p
"đàm thoại[0,8,p]tốt, chữ hiển thị trên màn hình bé xíu à màu đen sangchảnh, cảm giác bấm số nặng tayquá. làm ơn xuất giùm hóa đơn cho mình với nhà bánơi..... ko có hóa đơn làm sao mà thanh toán được với công tyđây.....",p
"Sản phẩm[0,7,p] nhận như quảngcáo, mới xài được 3 ngày nên cũng chua thể nói làổn. Vẫn ủng hộ xếp 5 sao",p
" Sản phẩm[1,8,p] nhận như quảngcáo, mới xài được 3 ngày nên cũng chua thể nói làổn. Vẫn ủng hộ xếp 5 sao",p
"Điện thoại có âm lượng[14,21,p] phátto,rõ. Tuy nhiên âm lượng thu vào[53,68,neu] thì lại khôngrõ, vì vậy người nghe đầu dây bên kia có nhận xét là âm lượng điện thoạinhỏ, nghe khôngrõ. Ngoàira, để có thể sử dụng đầy đủ chức năng của điện thoại(hiện số cuộc gọiđến, thêm danh bạ vào điệnthoại,...), thì cần mua thêm 3 cục pin đểvào. Nội dung này không hiển thị trênweb, lúc mua về mình mớibiết, lỡ rồi nên dùngluôn. Tiki cần yêu cầu nhà cung cấp bổ sung thêm thông tin này để tránh khách hàng khác hiểu lầm nhưmình. Ưuđiểm: Giá[523,525,p] thành phùhợp, phím bấm[552,559,p]to, đường truyền[575,586,neu] khá ổnđịnh.",p
"Điện thoại hình thức[11,19,p]đẹp, loa[34,36,p] to rõràng, chuông[58,63,p] kêuto. Chỉ hơi tiếc là ko kèm theopin.[108,111,neg] Khi không có pin thì không hiển thị được mànhình, không lưu được số điệnthoại. Nhìn chung là ổn",neu
"Mua về mấy bữa hưluôn. Không gọi[29,31,neg]được, gọi cũng không chuông hay báo gìhết. Hàng[86,89,neg] kém chất lượngquá.",neg
"Chua nhận được hóa đơnđỏ, vui lòng gửi vềemail:***",
"Âm lượng[0,7,neg]nhỏ, khó nghelắm!",neg
"Đơngiản, đẹp",
Dùng ok,
"Sản phẩm[0,7,p] tốt cho người sửdụng!",p
"sản phẩm[0,7,p] tốt giao hàng[20,28,p] nhanh shop hỗ trợ[50,55,p] nhiệttình!",p
"Đt[0,1,p]tốt. Nghe[14,17,p] rõ",p
Tôi vẫn chưa nhận được hóa đơn VAT mặc dù lúc mua có khai báo,
"tốt nhưng chuông[10,15,neu] hơi nhỏ",neu
"Nghe[0,3,p]rõ, hàng[15,18,p] chất lượng với tầm giá này(đủ 50 ký tự:D)",p
"sử dụng bìnhthường, mới dùng nên chưa có sựcố, giao hàng[47,55,neg] trễ 1 tuần so vớilịch.",neg
"Điện thoại[0,9,p] chínhhãng, nghe[29,32,p] rõto, bàn phím[49,56,p] bấmnhẹ.",p
"Hàng[0,3,p]chuẩn, giá[18,20,p]tốt, giao[35,38,p] đúnghẹn.",p
"Hiện tại dùng tốt không có vấnđề, Hàng tương đối chấtlượng.",
"Chất lượng sản phẩm[0,18,p]tốt,nghe, gọi[31,39,p] torõ. Đánh giá cao dịch vụ giao hàng[69,85,p] nhanh trong những ngày tết của Tiki",p
" Giao hàng[1,9,neg]chậm, nút bấm[25,31,neg] phản hồi khôngưng. Còn lại dùng bth",neg
"Máy mới mang về nhưng call vìeo zalo ko đc,cứ bảo pin[50,52,neg] nóng rồi tự tắt luôn,máy nghe[90,93,neg] ko rõ,nhiễu âm thanh[118,125,neg] chất lượng thấp",neg
"Sản phẩm[0,7,neg] đời cũquá, nhà bán không tứ vấn thoing tin kỷ trên hệ thóing",neg
Sao kích hoạt dc shop!,neg
"Hàng[0,3,neg] bị lổi sạc pin[25,27,neg] mọi người cẩn thận shop ko có trách nhiệm",
"Shop giao hàng[5,13,p]nhanh. Phản hồi thông tin[29,46,p] nhanhchóng. Điện thoại[69,78,neu] dùng ổn so với giá tiền",p
"Máy[0,2,neg] khá yếu ko thể tải đc gì cả",neg
"Dùng điện thoại lag giật, pin[26,28,neg] xạc 4 tiếng được20%",neg
" Giao hàng[1,9,p] nhanhchóng, sản phẩm[30,37,p] còn nguyên tem niêmphong, chất lượng[74,83,p] ổn định",p
"giao hàng[0,8,p]nhanh.. shop tư vấn[29,34,p] nhiệt tìnhquá. lần sau ủng hộ shop lần nữa",p
"giao[0,3,neg] chậm 2 ngày máy gọi zalo[30,37,neg] dật hình quá mới mua chưa biết thế nào",neg
ok dang sử dụng chất lượng chờ thời gian nữa mới biết được,
"giao[0,3,p][0,3,p]nhanh, giao đúng sp mìnhchọn, còn máy[52,54,neu] sử dụng ok ko thì thời gian sau mới biếtđc.",p
"Hàng[0,3,p]tốt, chất lượng",p
"Máy đã dùngđược, xin cảm ơn",
"điện thoại dùng tí hết pin[23,25,neg], nhanh nóng máy",neg
đã xài đã ưng ý@@.,
"bán hàng lừađảo, điện thoại mới mà sạc không vào",
điện thoại rất ok ạ,
Ko nhu mong doi may qua cham,
shop rất uytín. nên mình sẽ típ tục ủng hộ shop,
"hiện tại xàiok, ko bt lâu dài thế nào",
đẹp,
Được. Ổn,
"pin[0,2,neg] quá chán không dùng cũng hao",neg
"Sản phẩm[0,7,neu]tốt, khá chậm!",neu
"đt[0,1,p] dùng ok",p
dễ xài,
"Phù hợp cho trẻ em liên lạc khi đihọc, pin[39,41,p]lâu, có ứng dụng học tiếng Anh[59,80,p] khá hay(giá15000đ)",p
Nhìn cũngok. Chưaxài. Cơ mà mình đặt màu đen lại giao màuxanh.,
Chủ shop tốt cho đổi hàng ok nha shop lần sau sẽ ủng hộ shop,
"sp[0,1,p] như mongđợi. máy đã lên 4g[34,35,p] nên dùng dc lâu dài ko sợ cắt sóngnữa. pin[85,87,p]lâu.giao hàngnhanh.đòng gói[121,123,p] cẩnthận. thanks",p
"Shop tư vấn[5,10,p] nhiệt tìnhlắm, sẽ ủng hộthêm, thanks nha",p
B,
Hàng tốt,
Cám ơn Shop và Tiki đã hỗtrợ! Mình chưa trải nghiệm sản phẩm nên để 5 sao chúc VNPT bántốt!,
"cảm ơn shop đã hổ trợ[15,20,p] nhiệt tình",p
"đt[0,1,p] kiểu giáng đẹp bắt mắt máy[33,35,p] sử dụng khá tốt",p
"Máy sạc điện[0,11,neg] chậpchờn. Loa[33,35,neg]nhỏ. Gọi tiki đểbảo hành.[63,71,neg] Bên vận chuyển Ninjavan đến lấymáy. 1 tháng sau gọi tiki thì bảo chưa nhận đượcmáy. Mình gọi lên2-3 lần đều bảo là sẽ kiểm tra với nhà vậnchuyển. Cuối cùng mất luônmáy. Và tiki đã hoàn trả lạitiền.T.T",neg
" Sản phẩm[1,8,p]đẹp, hoạt động[21,29,p]tốt, rất hàilòng.",p
"nhìn điện thoại[5,14,neu] ko chắc chắn",neu
"Hàng[0,3,p] chính hãng tốt",p
"Cty tôi đang giai đoạn sửa chữa điềuchỉnh, cầm điện thoại không dây đi cách cả 20m nằm lệch tầng mà vẫn bắt sóng[104,111,p] tốt nghe nói[128,135,p] rõ, pin[152,154,neu] thì kháổn.",p
"Mình nhận được hàngrồi, nhưng tại sao không có pin[47,49,neg] đi kèm điện thoại",neg
"qua tệ loa[7,9,neg] nhỏ còn rè lấy chứ bực mình",neg
Good Sản phẩmtốt. Rất hàilòng.,
Verygood. I likeit.Thanks.,
Dùng rất bền,
"Chuông[0,5,neg] quá nhỏ loa[24,26,neg] yếu quá",neg
"Máy[0,2,p]đẹp, hàilòng, giao[24,27,p] đúnghẹn. Đóng gói[47,54,p] hộp kín",p
"Rất chuẩn, đảm bảo nhé ae",
"tuyệtvời,hợp với túi tiền đt[26,27,p] Sài thấy cũng OK lắm",p
dfg,
"Rất tiện dụng và cậpnhật, Thanks Shop!",
"chất lượng[0,9,p] ổn so với tầm giá",p
Rẻ so với cấu hình,
"shop đóng gói[5,12,p] cẩnthận, hàng[31,34,p] chínhhãng, chuông[56,61,p] to nghe gọi[75,82,p]rõ, nv giao hàng[99,107,p] vui vẻ nhiệttình.",p
"Sản phẩm giá[9,11,p] rẻ so với các gian hàngkhác. Tuynhiên, gửi hàng saimàu:[72,75,neg] đặt màuxanh, giao màuđen. Pin[114,116,neg] điện thoại quátệ: chỉ được 1ngày, không sử dụng cũng hếtpin. Không nên mua điện thoại trên tại gian hàngnày.",neg
"Rất rất không hàilòng. Mình chọn loại này vì thích màuxanh. Vậy mà giao[67,70,neg] màuđen. Thấy không được tôntrọng.Khi giao không đúng theo hình ảnh thì nên hỏi khách hàng có đồng ý haykhông.",neg
"Mình sẽ cho không sao nhéshop. Để hình màuxanh, giao[48,51,neg] khách màuđen, khác nào*** kháchhàng. Không thì giới thiệu là giao màu ngẫu nhiênđi, đây ko báogì, muốn giao màu gìgiao. Quá tệ",neg
*** mẹ mày toàn*** thôi điện thoại gì không có nhạc chuông chó*** mẹ mày lũ khốn nạn quân***,
"sp[0,1,p] chínhhãng. loa[21,23,p]to. pin[37,39,p] trâu.hàng Nokia khỏi bàn về chât lượngsp.shop bán rẻ hơn ngoài thị trường nhiều",p
"Máy[0,2,p] ok chính hãng",p
"Sản phẩm[0,7,p] tốt chấtlượng. Giao hàng[31,39,p] đúng hẹn",p
"sp[0,1,p] chinh hãng nokia 4g đầyđủ.sóng[33,39,p]khỏe. pin[55,57,p]trâu.shop tư vấn[77,82,p] nhiệttình.",p
"Đặt điện thoại màuxanh. Shop báo hết màu hỏi chọn màu đen hayđỏ, báo chọn chuyển sang màu đỏ mà shop vẫn giao màu đen",
"Dt[0,1,p] xàitốt, pin[18,20,p]khoẻ, màu[36,38,p]đẹp, tuy nhiên giao hàng[63,71,neg]lâu, tiếp tục ủng hộ shop",neu
"hàng[0,3,p] chínhhãng..giao hàng[17,31,p] nhanh 4g chuẩn",p
"hàng[0,3,neu] tốt",neu
" Giao hàng[1,9,p] nhanh",p
"Pin[0,2,neg] tuột khá nhanh Lướt web siêuchậm. Nói chung giá[60,62,neu] này thì cũng ko lấy làm thất vọng",neg
"Nguyenhộp, gói[11,13,p] tiêuchuẩn, mởhộp, cài đặt[42,48,p] hoạt độngtốt. Xạc điện tạm bằng củ xạc smartphone2mah, dùng cho nhu cầu đọc cơ bản",p
"shop Khong ban Kem BAO da maytinh, Ben ngoai khg co ban BAO da tuong thich may nay kho BAOQuan.",
OK cho Máy tính bảng Vankyo MatrixPad Z10- Hàng Chính Hãng lại mua Máy tính bảng Vankyo MatrixPad Z10- Hàng Chính Hãng,
